ESG Dimension,ESG Indicator,Indicator Group,Definition,Academic Source,Measurement Objective,Amazon Candidate Dataset,Amazon Candidate Columns,Expected Evidence,Initial Assessment
Social,Customer Satisfaction,High-Priority Indicator,Mức độ hài lòng tổng thể của người tiêu dùng đối với giá trị xã hội và công năng sản phẩm.,Literature Review,Phân tích xu hướng hài lòng của khách hàng.,Reviews Dataset,"rating, helpful_vote",Rating Pattern,Strong Candidate
Social,Customer Service,High-Priority Indicator,"Chất lượng tương tác, hỗ trợ và giải quyết khiếu nại của nhà bán hàng đối với người mua.",Literature Review,Đánh giá chất lượng dịch vụ khách hàng.,Reviews Dataset,review_text,Review Evidence,Moderate Candidate
Social,Product Comfort,High-Priority Indicator,"Trải nghiệm thể chất và sự thoải mái của phom dáng, chất liệu vải đối với người dùng.",Literature Review,Xác định mức độ thoải mái khi sử dụng sản phẩm thời trang.,Reviews Dataset,"review_text, rating",Frequency Evidence,Strong Candidate
Social,Worker Welfare,Supporting Indicator,"Sự tôn trọng và đảm bảo các quyền lợi cốt lõi về đời sống thể chất, tinh thần của người lao động.","GRI Standards, OECD Guidelines",Kiểm tra các tuyên bố công khai liên quan đến phúc lợi nhân viên.,Products Dataset,"item_desc, brand",ESG Keyword,Needs Further Validation
Social,Fair Labor Practices,Supporting Indicator,"Cam kết thực hiện các thực hành lao động công bằng, không cưỡng bức và không sử dụng lao động trẻ em.","OECD Guidelines, UN SDGs",Dò tìm các chứng nhận hoặc tuyên bố về lao động công bằng.,Products Dataset,item_desc,Rule-based Matching,Needs Further Validation
Social,Ethical Sourcing,Supporting Indicator,Quy trình thu mua nguyên liệu tuân thủ đạo đức kinh doanh và trách nhiệm xã hội trong chuỗi cung ứng.,"SASB Standards, Literature Review",Đánh giá tính minh bạch nguồn gốc đạo đức của chuỗi cung ứng.,Products Dataset,"item_desc, brand",Keyword Matching,Needs Further Validation
Social,Consumer Health & Well-being,Supporting Indicator,Tác động tích cực của sản phẩm đến sức khỏe thể chất và tinh thần lâu dài của người tiêu dùng.,"UN SDGs, Literature Review",Phát hiện các khiếu nại liên quan đến kích ứng da hoặc ảnh hưởng sức khỏe.,Reviews Dataset,review_text,Complaint Pattern,Moderate Candidate
Social,Product Accessibility,Supporting Indicator,"Khả năng tiếp cận sản phẩm dễ dàng, thiết kế bao hàm (inclusive design) phù hợp nhiều đối tượng xã hội.",Literature Review,Đánh giá tính đa dạng và bao hàm trong mô tả kích cỡ/phom dáng sản phẩm.,Products Dataset,"item_desc, title",ESG Keyword,Moderate Candidate
Governance,Product Authenticity,High-Priority Indicator,"Tính xác thực của sản phẩm, đảm bảo cung cấp hàng chính hãng và đúng mô tả kỹ thuật.","Literature Review, OECD Guidelines",Xác định tính chính hãng và trung thực của sản phẩm.,Reviews Dataset,"review_text, verified_purchase",Review Evidence,Strong Candidate
Governance,Counterfeit Prevention,High-Priority Indicator,Các biện pháp chủ động và cơ chế kiểm soát nhằm ngăn ngừa việc lưu thông hàng giả trên nền tảng.,Literature Review,Đánh giá nguy cơ hàng giả.,Reviews Dataset,"review_text, rating, asin",Complaint Pattern,Strong Candidate
Governance,Business Transparency,High-Priority Indicator,"Mức độ công khai thông tin rõ ràng về cấu trúc doanh nghiệp, nguồn gốc sản phẩm và chính sách kinh doanh.","GRI Standards, SASB Standards",Đánh giá tính minh bạch thông tin thương hiệu và nhà bán.,Products Dataset,"brand, item_desc",Keyword Matching,Moderate Candidate
Governance,Regulatory Compliance,Supporting Indicator,"Sự tuân thủ đầy đủ các quy định pháp lý hiện hành về ghi nhãn, tiêu chuẩn kỹ thuật thời trang.","GRI Standards, ISO 14001",Kiểm tra thông tin tuân thủ quy chuẩn pháp lý trong văn bản mô tả.,Products Dataset,item_desc,Rule-based Matching,Moderate Candidate
Governance,Accountability,Supporting Indicator,Trách nhiệm giải trình của nhà bán hàng khi xảy ra sự cố về sản phẩm hoặc dịch vụ.,GRI Standards,Phân tích cách nhà bán hàng phản hồi các đánh giá tiêu cực.,Not Directly Available,"parent_asin, review_text",Review Evidence,Needs Further Validation
Governance,Information Disclosure,Supporting Indicator,Mức độ tự nguyện công bố các báo cáo hoặc chỉ số phát triển bền vững đến công chúng.,"GRI Standards, SASB Standards",Xác định mức độ công bố thông tin phát triển bền vững.,Products Dataset,item_desc,ESG Keyword,Moderate Candidate
Governance,Ethical Business Conduct,Supporting Indicator,"Thực hành kinh doanh liêm chính, không cạnh tranh không lành mạnh hoặc thao túng đánh giá.","OECD Guidelines, Literature Review",Phát hiện các dấu hiệu bất thường mang tính thao túng từ dữ liệu.,Reviews Dataset,"rating, verified_purchase, helpful_vote",Rating Pattern,Moderate Candidate
Governance,Corporate Responsibility,Supporting Indicator,"Cam kết dài hạn của tổ chức/thương hiệu trong việc đóng góp tích cực cho kinh tế, môi trường và xã hội.","UN SDGs, GRI Standards",Ghi nhận các tuyên bố trách nhiệm xã hội doanh nghiệp.,Products Dataset,"item_desc, brand",Keyword Matching,Moderate Candidate
